# Monthly Runoff (AHPS Computed)
# units: mm over lake
# Original data source://lre-netapp1/LRE1-Public/Public/Share/H&H/WHS/FORECAST/AHPS
# Last modified 2019-09-03 12:47:17 by DA9
#
"year","month","SUP","MIC","HUR","GEO","MIH","STC","ERI","ONT"
"1970","03","25.95","52.35","34.19","88.41","51.91","771.95","96.61","161.49"
"1970","04","77.55","77.62","77.2","294.55","112.58","733.64","141.46","343.49"
"1970","05","119.6","71.35","30.21","288.51","92.27","296.58","64.89","164.42"
"1970","06","70.04","57.81","21.26","207.01","69.32","102.17","32.68","78"
"1970","07","46.12","34.77","17.65","128.95","44.09","126.29","31.97","74.34"
"1970","08","30.8","23.25","8.7","61.24","24.37","48.25","10.97","34.42"
"1970","09","43.31","45.28","23.75","123.34","50.47","129.13","29.82","70.31"
"1970","10","64.88","50.53","27.35","129.81","55.34","192.99","43.42","111.32"
"1970","11","71.45","70.75","31.95","134.12","67.59","448.41","68.23","165.15"
"1970","12","51.59","59.02","29.84","143.18","62.55","441.32","85.4","152.7"
"1971","01","35.8","39.82","20.64","98.33","42.66","191.57","42.22","77.27"
"1971","02","27.36","48.92","32.32","69.86","46.57","610.18","119.04","99.97"
"1971","03","36.58","75.4","56.81","111.27","74.78","831.55","89.7","220.08"
"1971","04","106","101.47","84.79","329.48","132.60","508.01","66.08","395.48"
"1971","05","118.35","75.6","35.56","381.67","111.29","153.25","75.86","295.51"
"1971","06","73.64","44.67","18.15","169.49","55.70","90.82","26.48","88.25"
"1971","07","50.34","31.13","13.8","76.33","32.45","43.99","23.86","57.49"
"1971","08","38.93","25.87","14.05","65.98","28.27","76.63","14.79","58.59"
"1971","09","35.49","25.47","14.05","63.83","27.73","137.65","33.64","67.74"
"1971","10","59.1","37.8","12.43","84.1","36.52","86.56","27.91","54.2"
"1971","11","71.92","39.01","15.66","112.56","42.84","151.84","29.82","65.18"
"1971","12","52.69","71.15","56.69","173.37","82.69","692.48","134.07","178.7"
"1972","01","37.84","56.19","29.96","115.58","56.73","411.52","80.63","168.45"
"1972","02","29.55","39.82","21.01","81.08","39.99","231.3","45.8","129.26"
"1972","03","32.36","59.63","51.72","80.21","60.23","959.26","139.79","209.46"
"1972","04","80.2","98.44","86.65","282.05","124.08","825.87","157.21","339.46"
"1972","05","131.33","87.32","41.65","414.01","124.40","239.82","64.65","253.04"
"1972","06","68.01","46.69","22.63","159.57","56.64","194.41","75.62","199.57"
"1972","07","52.53","35.37","18.52","88.41","38.13","99.33","26.24","148.31"
"1972","08","52.53","41.24","15.79","94.02","40.98","106.43","21.71","71.77"
"1972","09","50.66","45.48","12.31","87.12","40.75","62.44","63.93","38.45"
"1972","10","48.62","62.66","42.14","120.32","64.90","554.84","57.25","131.1"
"1972","11","47.84","64.68","35.93","139.3","66.81","624.37","138.84","238.02"
"1972","12","35.18","48.31","26.48","114.72","51.51","542.07","112.6","227.4"
"1973","01","33.3","83.68","83.42","140.59","92.80","865.61","81.11","221.54"
"1973","02","27.36","55.99","37.3","118.6","59.66","289.48","52.48","182.73"
"1973","03","68.63","94.19","66.51","266.52","112.51","1130.96","155.78","312.36"
"1973","04","83.33","89.54","48.36","271.7","104.78","420.03","79.68","313.46"
"1973","05","88.33","106.12","38.79","233.74","103.49","236.98","56.06","187.49"
"1973","06","58.47","64.28","26.11","146.2","64.34","140.48","43.42","88.25"
"1973","07","45.34","34.56","14.42","78.92","34.77","82.3","21.71","36.99"
"1973","08","39.87","29.51","14.05","77.2","31.88","75.21","17.18","26"
"1973","09","35.65","28.3","16.04","51.32","27.79","85.14","11.21","60.42"
"1973","10","47.37","37.19","19.27","86.25","38.93","161.77","39.6","79.83"
"1973","11","43.78","48.92","45.5","123.77","59.85","800.33","98.76","182.36"
"1973","12","40.02","54.98","40.65","144.47","64.51","516.53","109.26","210.19"
"1974","01","29.08","64.48","54.08","116.44","69.29","899.66","147.9","218.25"
"1974","02","21.89","60.44","46.99","107.82","63.46","764.86","94.47","200.31"
"1974","03","29.71","79.84","74.47","171.21","92.77","1016.02","165.56","269.52"
"1974","04","78.64","102.28","70.86","323.88","127.28","786.14","120.95","292.59"
"1974","05","101.31","83.89","59.43","268.68","105.34","695.32","99","229.23"
"1974","06","70.51","66.91","24.12","160.86","67.32","141.9","32.44","95.21"
"1974","07","45.03","38","14.55","77.63","36.30","79.47","14.31","58.22"
